title,publish_date,text_body,category
"Construction sector ‘amnesty plan’ extended
","January 1, 2021","			
ISLAMABAD: Prime Minister Imran Khan on Thursday gave a ‘new year gift’ to those associated with the construction sector by announcing that the fixed-tax regime for them has been extended by another year till Dec 2021 and the facility of non-disclosure of source of income while making investment till June 2021. 
The prime minister also gave one-year extension to construction projects which were supposed to be completed in 2022 and now they can be completed by 2023, the last year of the five-year term of the Pakistan Tehreek-i-Insaf-led government. 
“I want to give [the construction sector] good news for the new year that we have extended the fixed tax regime to Dec 31, 2021,” the prime minister said in a live address to the nation. 
He said this had been a big demand of the construction industry which was the key to offset the negative impact of the Covid-19 pandemic on the national economy. 
“It was a big demand of the construction sector that the fixed-tax regime should be extended as the facility has not been availed in a real manner due to Covid-19’s impact,” he added. 
The government had introduced the fixed tax-regime for the construction sector till Dec 31, 2020.  
Prime Minister Khan said he was happy to announce that projects worth Rs186 billion had been registered with the Federal Board of Revenue (FBR) to take benefit of incentives given to the construction sector in April. Other projects worth Rs116bn were in the process of registration with the FBR, he added. 
He said that Rs160bn construction projects had been launched in Punjab. “This will generate economic activities equivalent to Rs1,500bn only in Punjab and will create 250,000 jobs,” he said, adding that similar projects had also been started in Khyber Pakhtunkhwa, Karachi and Balochistan. 
Talking about the incentives his government had given to people, the prime minister said the government had announced packages for low-cost housing for salaried people who were previously unable to afford houses. “Its first success was the foreclosure law. For the first time in Pakistan, banks are financing houses. Banks have vowed to allocate Rs378bn for construction activity till Dec 31, 2021,” he added. 
Mr Khan said the subsidy given for low-cost housing [would remain in place] and the interest rate would not be more than five per cent on houses of five marlas and no more than 7pc for houses on 10 marlas.  
“For the first 100,000 houses that will be built [under this scheme], we have decided to give Rs300,000 per house,” he added. 
He said the date for completion of construction projects had also been extended allowing people to invest in the construction sector without disclosing the source of income. 
According to the FBR, the fixed-tax scheme is applicable to the builders and developers who opt for the scheme by registering their projects with the FBR. Builders and developers eligible for the fixed tax scheme include individuals, a company or an association of persons. 
 
Prime Minister Imran Khan has also approved the online agriculture dashboard developed by the National Security Division, which will monitor food prices and availability of commodities at the national, provincial and district levels. 
The dashboard will use authentic indicators to prevent any food crisis and will also be effective in preventing hoarding and profiteering. 
The prime minister stressed the need for urgent measures to control inflation of items such as flour, sugar and pulses and to increase exports and find local alternatives to imported items to ensure an increase in current account surplus. 
Mr Khan was chairing the first weekly meeting held to review progress of priority sectors. Special Assistant to the PM Dr Moeed Yousuf, the secretaries of ministries concerned and senior officials attended the meeting, whereas the chief secretaries of the four provinces participated via video-link. 
On the directive of Prime Minister Khan, the areas which have been given a priority status include food security, agriculture, electricity, manpower, foreign investment, privatisation, information technology and exports. 
According to PM Office, from now onwards, there will be a weekly review meeting chaired by the prime minister, where he will be given briefings on the implementation of decisions made at these meetings with special focus on each sector.",Newspaper
"People won’t pay heed to PDM protest plans: PM
","January 2, 2021","• Rubbishes opposition’s allegation of being ‘puppet’

• Calls army his subordinate institution like bureaucracy

• Says allies pursuing PTI’s manifesto
 Prime Minister Imran Khan has said people will pay no heed to the Pakistan Democratic Movement’s (PDM) call for ‘long march’ and rejected the opposition’s allegation of a ‘puppet’ premier, arguing that if it was true why he did not hold talks with them even after the military leadership had asked him to do so in order to end political instability.
In his first interview of the year with 
 on Friday, Mr Khan made it clear that Pakistan Army was his subordinate institution just as the bureaucracy was.
While reiterating that he would never give any National Reconciliation Ordinance-like relief to the opposition leaders facing corruption references, the PM said: “Pakistani nation takes to streets only against corruption and for their genuine rights, but this time they know PDM leaders are planning the long march only to save their ill-gotten money.”
Asked about the opposition’s one-month deadline before holding a long march against his government, Mr Khan said: “I can give in writing that Pakistani nation will not come out on the streets on the call of PDM.” 
Responding to another question, he said: “If I am a puppet and if the army has asked me to hold talks with the opposition then why I am not doing so.” He said if he was a puppet, why he was not making any compromise on the manifesto of ruling Pakistan Tehreek-i-Insaf (PTI). “The fact is that army stands by me in implementation of my government’s manifesto. Army wants stability and progress of the country and that is why it is with me,” he said, adding that the government did not interfere in the affairs of state institutions including the army.
The prime minister in reply to another question agreed that the army had asked him to talk to the opposition to resolve political instability in the country. “I am ready to hold negotiations with opposition on important national issues. I am ready to talk but I will commit treason if I give NRO to the opposition. Whatever they (opposition) will do, I will not give them NRO,” Mr Khan declared.
Regarding PDM’s anti-government drive, the PM said since the start of PTI government, the opposition had been giving repeated deadlines for its ouster but the opposition had always failed. “The PDM has already faced humiliation in Lahore Jalsa at Minar-i-Pakistan as its leaders are not popular and the people did not come out on their call. On the other hand I filled Minar-i-Pakistan four times,” he recalled.
PM Khan reiterating his government’s resolve to uplift the people’s living standards and improve justice system and hoped that the new year 2021 would bring about good time for Pakistan. 
About frequent changes in cabinet, he explained that all the reshuffles in federal and provincial cabinets, and bureaucracy would become irrelevant on the basis of just one question whether Imran Khan had improved the lives of people after five years. “You get a mandate for five years. I will not commit to not change my team. I am the captain and always kept changing the team. I have to win the match,” he remarked.
Mr Khan announced that the government would approach the Chief Justice of Pakistan for setting up a special court to hear the corruption cases of ministers on a day-to-day basis, if any, and decide their fate within minimum possible time. He assured the nation that action would be taken against any of his ministers found involved in corruption. “I will take action. This is my ideology for 24 years. The corruption by an SHO (station house officer) or Patwari (revenue officer) disturbs the people only, but that by a prime minister or ministers destroy the country,” he said.
Referring to the opposition’s remarks against him that he had himself claimed in one of his recent speeches that he had not come to the power with complete homework, the prime minister said: “I have never called myself ill-prepared to run the government, rather I proposed at least six weeks for prior briefings by the state machinery on government affairs to a newly elected government, on the pattern of the United States.”
The prime minister said during the first two years, the Pakistan Tehreek-i-Insaf (PTI) government had paid back $20 billion debt, spending half of its receipts and leaving behind a limited money for public welfare.
Highlighting the government’s achievements on economic front, Mr Khan mentioned the surplus current account, increased exports, improved stock market and textile industry running at full capacity, all due to the pro-business policies.
Asked why he had made alliance with the Muttahida Qaumi Movement (MQM) even after it was accused of being involved in “criminal” activities, the PM said: “I formed a coalition with the MQM after the party had parted ways from terrorist Altaf Hussain.”
However, he said, he had already announced to never form any coalition with the Pakistan Muslim League-Nawaz (PML-N) or the Pakistan Peoples Party (PPP) as they would impede him in his mission of accountability and purging the country of corruption.
He claimed that the coalition partners were pursuing government’s policies and PTI’s manifesto, and rubbished the notions of any differences of his party with the Pakistan Muslim League-Quaid, MQM or Grand Democratic Alliance.",Pakistan
"Ministry to pay 30pc of circular debt to IPPs
","January 2, 2021","ISLAMABAD: In the wake of the first meeting with a delegation of the IPPs to discuss payment of circular debt and implementation of memorandums of understanding (MoUs) signed with the power producers, the government has decided to pay Rs135 billion out of Rs450bn circular debt and settle the remaining amount by the end of the current calendar year. 
Sources in the finance ministry said that a delegation of Independent Power Producers’ (IPP) managements held a meeting with Finance Minister Dr Abdul Hafeez Shaikh a day earlier to discuss the repayment plan for overdue circular debt receivables under the recently signed MoUs. 
This was the first meeting in which a workable plan was agreed by both sides. The IPP delegation termed the plan “acceptable” and the government officials said that it was affordable for the government. 
It has been agreed that of the total outstanding receivables amounting to Rs450bn, the government will pay 30 per cent now and the remaining payment will take place in equal tranches by June and December. 
Sources also said that the next round of meetings between the committee for implementation of MOUs signed with IPPs would take place on Jan 4 and 5 in Islamabad. 
The committee is led by Dr Shaikh and comprises of Special Assistant to the Prime Minister on Power Tabish Gauhar, Chairman of Federal Land Commission of Pakistan Babar Yaqoob Fateh Mohammad, who had earlier led the negotiations with IPPs, secretaries of power and finance and the chief executive of Central Power Purchasing Agency. 
The meetings will finalise the amendments to the power purchase agreements based on the MoUs signed in Aug 2012. 
“The government is expected to renew the agreements with the IPPs, and it is expected to save more than Rs850 billion in the next 10 years,” an official of the finance ministry added, adding that the complete plan was likely to be finalised in several more meetings between the government and the IPPs scheduled in Jan. 
On the other hand, the scheduled payment plan will help the IPPs improve their liquidity position and expand the businesses, mainly in the coming energy sources like renewables or coal-based plants in Tharparkar. 
The official added that there were limitations for the furnace oil-based power plants, whereas there were several upcoming options in the power sector.",Newspaper
"IHC fines  govt officials Rs10m in missing  person case
","January 2, 2021","ISLAMABAD: In an unprecedented move, the Islamabad High Court on Friday imposed a fine of Rs10 million on the authorities for their failure to trace the whereabouts of a missing person.  
Justice Mohsin Akhtar Kayani of the IHC declared that the government functionaries responsible for the protection of citizens, including the secretaries of interior and defence, senior superintendent of police and station house officer of Golra police station, had failed to discharge their lawful function.  
He pointed out that despite several court directives they had failed to trace the whereabouts of missing person Ghulam Qadir in the last six years.  
Justice Kayani disposed of the petition filed by Qadir’s brother after imposing the fine on the authorities and warned that if they failed to recover the missing person in a month, they would face departmental inquiry.  
He regretted that the police authorities had failed to discharge their duty.  
It may be mentioned that this is the highest-ever fine imposed on the authorities in a missing person’s case. Earlier, the court had imposed a fine of Rs4m fine on the state functionaries in two similar cases.  
In August, Justice Kayani had given the authorities seven weeks for recovery of Ghulam Qadir and warned them of issuing a stern order in case of failure.  
Qadir went missing in August 2014.  
The court regretted that the citizen had been missing for the past six years but the investigation had not reached any conclusion.  
Police said the missing citizen might have gone to Afghanistan and an investigation was under way in this regard as well.",Pakistan
"Govt agrees to pay $28.7m damages to US firm
","January 2, 2021","ISLAMABAD: The federal cabinet has approved payment of 
 to the Washington-based asset recovery firm Broadsheet LLC and at the same time decided to challenge the British court’s decision to attach the accounts of the Pakistan High Commission in London. 
The approval was granted after the office of the attorney general and the law ministry advised the government to let the National Accountability Bureau (NAB) clear the $28.7m award. 
The government has also decided to fix the responsibility about the debacle on those involved in engaging the firm in 2000 during the Pervez Musharraf era, signing a controversial agreement and the payment of $5 million to a “so-called front man” of the firm. 
“The federal cabinet has given approval for payment of damages to the US-based asset recovery firm,” Adviser to the Prime Minister on Accountability Mirza Shahzad Akbar told 
, adding the government would also fix responsibility about the debacle on those involved in engaging the firm on ambiguous terms and already paying the damages amount to a “so-called representative” of the firm. 
The adviser said NAB was conducting an investigation against Tariq Malik, who is presently in Dubai, who had paid damages to the so-called front man. 
He said the agreement with the US firm was inked in 2000 and the successive governments had not pursued the case properly, with the result that Pakistan had to pay the damages to the US firm.  
“The arbitration between Pakistan and Broadsheet started during the Pakistan Muslim League-Nawaz (PML-N) government and a settlement was made by the Pakistan Peoples Party (PPP) government, but the money was given to the person who, according to the firm, was not its representative,” he added. 
Meanwhile, a senior NAB official said the bureau had decided to take action against those responsible for the loss and humiliation. “Some officials of NAB, other government departments and Pakistan High Commission in the UK will be under investigation,” he said, adding NAB Chairman Javed Iqbal was also holding a meeting of senior officials of the bureau to fix responsibility on those involved in the fiasco. 
An informed source told 
 that both the AG office and the law ministry had advised the government that regardless of facts of the case, the UK high court decision to debit $28.7m from the accounts of the Pakistan High Commission in London over non-payment of the penalty by NAB to the firm should be challenged. 
“This should be done to ensure that sovereign immunity accorded to Pakistan and the accounts of its high commission are respected by foreign courts and the present case should not become a precedence to be used against us,” the source added. 
“This is a sorry tale of gross mishandling by NAB and therefore they should be answerable to the people of Pakistan for this sordid saga,” he said. 
It should also be looked into how the award of $22m accumulated into $28.7m due to non-payment of interest, which incurred at a rate of $4,758 per day – an amount also compoundable after every six months, the source said. 
The clearing of the penalty was necessary to avoid further recurring of heavy interest, he said. 
Usually the accounts of high commissions, embassies and central banks were treated as sovereign assets hence they were immune from being taken over, he said. 
Referring to the role of the NAB in this fiasco, the source described the event as a perfect example of “how things should not have been done”. 
This is the second such setback to Pakistan in a row as earlier on Dec 16, 2020, the High Court of Justice in the British Virgin Islands (BVI) granted a stay order ex-parte on a plea by the Tethyan Copper Company for enforcement of July 12, 2019, $5.97 billion award against Pakistan by the International Centre for Settlement of Investment Disputes in the Reko Diq case. 
In June 20, 2000 Pakistan initially faced a lawsuit of $580m on a dispute raised by Broadsheet LLC, a company hired for recovery of money and assets plundered by Pakistanis and invested in offshore companies. 
An agreement was signed between the firm and NAB to help recover the country’s stolen assets stashed in different offshore companies. But the dispute arose on the payment of service fees which was subsequently referred to international arbitration in London where the litigation before Arbitrator Sir Anthony Evans QC concluded in an interim award in terms of liability under Section 4 and 6 of the Recognition and Enforcement (Arbitration Agreements and Foreign Arbitral Awards) 2011. 
Under the agreement, NAB agreed to pay 20 per cent of the recovered or detected amount to the company. The bureau concluded the agreement in May 2008, paying $5m through a settlement agreement with a representative of Broadsheet. But the firm took NAB to the international court of arbitration, claiming that it had not received the amount it was supposed to. 
In Dec 2018, former English court of appeal judge Sir Anthony Evans QC issued the order for payment of $22m to Broadsheet by the government of Pakistan. In July 2019, the government filed an appeal against the order, but was unsuccessful in its bid. 
The arbitrator found that Pakistan and NAB had wrongfully repudiated the asset recovery agreement with Broadsheet and ruled that the company was entitled to damages. 
Talking to 
, former prosecutor general of NAB Irfan Qadir said the country faced defeat because the case had not been properly pursued.  
He claimed that under internationally recognised doctrine of contra proferentem, any clause considered to be ambiguous should be interpreted against the interests of the party that created, introduced or requested that the clause be included. 
Mr Qadir said the firm had inserted a clause in the contract under which it was to get a share not only in assets it will trace outside the country and also in those recoveries to be made in Pakistan by any other organisation like NAB etc.  
“The US firm had not traced even a single asset of any accused of NAB abroad but claimed its share in recoveries made inside Pakistan,” he added. 
He said the agreement was drafted by the same firm and therefore the liability of any ambiguity fell on the firm.",Newspaper
"Barbs fly in Senate over NAB’s performance
","January 2, 2021","ISLAMABAD: Tension ruled the Senate on the first day of year 2021 with senators from the two sides of the aisle locking horns over the issue of performance of the anti-corruption watchdog and process of accountability. 
During a debate on the performance of the National Accountability bureau (NAB), the opposition members rejected the process of accountability as one-sided and accused the government of using it for witch-hunt of its opponents. Members from the treasury benches responded by saying the opposition was trying to exert pressure on the government to force it to stop pursuing corruption cases against its leaders, who had amassed wealth through commissions and kickbacks, laundered money and stashed it in banks abroad. 
Some opposition senators alleged that the NAB chairman was being blackmailed to target the opposition after the leak of his “immoral audio and video clips” and he was now compelled to obey all orders “he receives through WhatsApp”. 
The senators from the government side chided the leaders of two major opposition parties. They alleged that Maryam Nawaz and Bilawal Bhutto-Zardari were struggling to save their fathers and not waging a struggle for democracy or the country. 
JUI-F leader Maulana Abdul Ghafoor Haideri said NAB had become a tool in the hands of the government to victimise the opposition. “This is why Maulana Fazlur Rehman has said he will not appear before the bureau.”  
Maulana Haideri said when the government was criticised for any wrongdoing, they said the army was with them. “You cannot run the government by hiding behind the army and continuously telling lies. Why do you defame the army by dragging it in politics?” he said. 
Senator Javed Abbasi of the PML-N said the government had turned NAB into a “PTI wing”. 
He said the parliament was supreme and had to play a role in checking violation of human rights guaranteed in the constitution by any institution. 
He said there were several judgements of the Supreme Court that highlighted the role of NAB in political engineering and forcing politicians to change their loyalty. 
Mr Abbasi slammed NAB for the arrest of PML-N leader Khawaja Asif and said the bureau had failed to prove any case of assets beyond means.  
He said the parliament was being rendered irrelevant and warned that if the parliament failed to act, the rulers of today would have to face what the opposition was experiencing today.   
He objected to the law which provided for 90-day remand of an accused and admitted that it was a mistake not to revisit the accountability law when the PML-N was in power. 
He said an institution for accountability was a sine qua non for strong democracy but the process had to be transparent.  
Referring to flour, sugar and drugs scams, the PML-N senator asked why no action had been taken against those responsible for the scams. “Where are the inquiry reports?”   
He warned that the country would be heading into a blind alley if this approach was not changed. 
Speaking next, Communication Minister Murad Saeed took exception to the remarks made by Mr Abbasi saying he was threatening that the PML-N would act against the PTI leadership if the former came to power.  
He said the previous governments had not only used the anti-accountability watchdog to victimise the opposition, but also to defend their corruption. 
Mr Saeed said the Panama Papers had not been released by NAB. He said there was a 
 documentary on the Sharif family’s London properties and the 
 had also published a report on Park Lane property of the family. 
Turning his guns towards former president Asif Ali Zardari, he said fake accounts case had not been filed by Imran Khan. He said a report published in New York Times on Jan 9, 1998 had mentioned Surrey Mansion. He said there was a time when an individual was called “Mr five per cent” by international media. “When he became investment minister, funds meant for Sindh’s development went into his account and then were transferred abroad”, he said. 
Usman Kakar of the Pakhtunkhwa Milli Awami Party said all decisions of an unconstitutional government were unconstitutional. He claimed that over a dozen people had been killed in NAB custody and said more than a week was required for a discussion on “black deeds” of the bureau. 
He demanded investigations into the assets of all generals involved in Afghan war, including Ziaul Haq, Akhtar Abdul Rehman and Hameed Gul, as well as Colonel Imam. Likewise, he said the assets of officers who had served in conflict zones -- erstwhile Fata and Balochistan -- should also be probed. He said the assets of former army chiefs Gen Pervez Musharraf and Raheel Sharif, former Inter-Services Intelligence chief Gen Ahmad Shuja Pasha and former chief justice Saqib Nisar should also be investigated. 
Mr Kakar said the Pakistan Democratic Movement would not only compel the government to resign but would also force the establishment to accept the parliament’s supremacy. “In the future, no one will be able to come to power by using the clutches of intelligence agencies,” he remarked. 
He called for enactment of a law for across-the-board accountability of all, including politicians, judges, generals and bureaucrats, and said the PTI government could not dare do so. 
Senator Kabir Mohammad Shahi also accused NAB of indulging in unprecedented political victimisation. He advised the NAB chairman to resign instead of being blackmailed. 
Senator Mohsin Aziz said the people had rejected the opposition’s narrative and the “drama of resignations” had also failed.",Pakistan
"WHO okays Pfizer vaccine for emergency use
","January 2, 2021","UNITED NATIONS: The World Health Organisation (WHO) has approved the Pfizer/BioNTech vaccine for emergency use, paving the way for it to be distributed to countries in need. 
It is the first vaccine to be added to the UN organisations’ Emergency Use Listing (EUL). 
Regulatory experts convened by WHO from around the world and its own teams reviewed the data on the Pfizer/BioNTech vaccine and found on Thursday that it met WHO’s must-have criteria for safety and efficacy with its benefits offsetting any potential risks. 
“This is a very positive step towards ensuring global access to Covid-19 vaccines,” Dr Mariangela Simao, WHO Assistant Director General for Access to Medicines and Health Products, said in a statement. 
“But I want to emphasise the need for an even greater global effort to achieve enough vaccine supply to meet the needs of priority populations everywhere.” 
The move opens the door for countries to expedite their own regulatory approval processes to import and administer the vaccine. 
It also enables Unicef and the Pan-American Health Organisation (PAHO) to procure the vaccine for distribution to countries in need. 
At the same time, WHO said it is encouraging more developers to come forward for review and assessment to satisfy the critical supply for all countries globally to stem the pandemic. 
“WHO and our partners are working night and day to evaluate other vaccines that have reached safety and efficacy standards,” Dr Simao said. 
“The vaccine is also under policy review. Drawing from WHO’s Strategic Advisory Group of Experts on Immunisation (SAGE) population prioritisation recommendations for Covid-19 vaccines, which were issued in September, the group will convene on Jan 5 to formulate vaccine specific policies and recommendations.” 
WHO is working with regional partners to advise national health authorities about the two-dose shot and its anticipated benefits. 
The World Health Organisation, the GAVI Vaccine Alliance and the Coalition for Epidemic Preparedness Innovations are spearheading a global effort called COVAX to secure the equitable distribution of vaccines to all countries and not just to wealthy nations. 
Meanwhile, German firm BioNTech said on Friday it was racing to ramp up production of its Covid-19 jab in Europe, to fill the “gap” left by the lack of other approved vaccines. The vaccine developed by BioNTech and its US partner Pfizer was the first to be approved in the European Union in late December. Countries including Britain, Canada and the United States okayed the Pfizer/BioNTech vaccine earlier and have since also green-lighted jabs by US firm Moderna or Oxford/AstraZeneca, leaving the EU’s inoculation drive lagging behind.",Newspaper
"Pakistan urges UN to prevent Andrabi’s ‘judicial murder’
","January 2, 2021","WASHINGTON: Pakistan urged UN Secretary-General Antonio Guterres on Friday to prevent the “judicial murder” of a Kashmiri leader and human rights activist and to persuade India to drop all “fabricated charges” against her. 
Aasiya Andrabi, who risks conviction by a sham court on Jan 18, is the founder of a Kashmiri rights group called the Dukhtaran-i-Millat, or Daughters of the Nation. 
In a letter addressed to Mr Guterres, Pakistan’s Permanent Representative to the UN Munir Akram said the world must stop giving a “free pass” to India over its “systemic crackdown on the legitimate and indigenous freedom movement in Kashmir”.  
In a similar letter to UN High Commissioner for Human Rights Michelle Bachelet, Pakistan’s envoy in Geneva Ambassador Khalil Hashmi argued that the world body’s “timely intervention may help prevent miscarriage of justice”. 
The United Nations, he said, could also “assist in breaking the vicious cycle of impunity and human rights violations in Indian Illegally Occupied Jammu and Kashmir (IIOJ&K).” 
By acting on time to save Ms Andrabi, the United Nations would also “send a strong message of hope to the Kashmiri people, especially women leaders and human rights defenders”, Ambassador Hashmi wrote. 
In New York, Ambassador Akram said: “With Indian judiciary showing little proclivity to stand up for the rights of Kashmiris, there is an imminent and real threat to the life of Ms Andrabi and her associates, who are staring at a real possibility of a judicial murder.” 
In its annual report on the situation in Kashmir, a Washington-based think-tank, the US Institute of Peace noted that “Kashmir has once again emerged as a major flashpoint between South Asia’s nuclear-armed rivals, India and Pakistan.”",Newspaper
"Afghan journalist shot dead
","January 2, 2021","KABUL: An Afghan radio journalist was shot dead on Friday in a car ambush in the central province of Ghor, officials said, the fifth media worker to be killed in two months.
Besmullah Adel Aimaq, Editor-in-Chief of Voice of 
, was killed en route to Firoz Koh city, the capital of Ghor province, said Aref Aber, the governor’s spokesman.
In recent months, other prominent Afghans have been ambushed by gunmen or killed in bomb attacks.
No group has yet claimed responsibility for Aimaq’s murder.
The Afghan Journalists Safety Committee, a group working for the security of journalists in the violence-wracked country, confirmed the incident.
It comes weeks after the December 12 killing of Rahmatullah Nekzad, who was shot dead with a silenced pistol near his home in Ghazni.
Two Taliban inmates who were freed ahead of peace talks between the insurgents and the Afghan government have been arrested in connection with Nekzad’s murder, Afghanistan’s spy agency the National Directorate of Security (NDS) said late on Thursday.
About 5,000 Taliban inmates were released last year as part of a contentious prisoner swap ahead of the long-delayed peace talks that finally commenced on September 12.
The NDS said that after their release the two Taliban inmates joined a “terrorist group” in Ghazni which has carried out several assassinations.
The two, who have confessed to their crimes, had also assassinated a judge and two government employees, the agency said. The Taliban had denied responsibility for the murder of Nekzad.
Peace talks are currently on a break, but are due to resume on January 5 in Qatar’s capital Doha.",Newspaper
"394 legislators get 15 more days to file asset details
","January 2, 2021","ISLAMABAD: Of the 1,195 lawmakers belonging to parliament and four provincial assemblies, 394 legislators, including as many as eight ministers, have failed to submit their statements of assets to the Election Commission of Pakistan (ECP) even after the expiry of the deadline, but their membership will not be suspended because a grace period of 15 days has been granted to them. 
The ECP has warned that if the public representatives do not provide their statements of assets by January 16, their membership of the respective national or provincial assembly or the Senate will be suspended. 
In all, 791 lawmakers have filed their statements of assets to the ECP, whereas 10 seats across the country are vacant.
Among the cabinet members who have not submitted their statements of assets to the Election Commission, are federal Minister for Planning, Development and Special Initiatives Asad Umar, Special Assistant to the PM on CDA Ali Nawaz Awan (both MNAs from Islamabad), Education Minister Shafqat Mahmood, Minister for Climate Change Zartaj Gul, Minister for Ports and Shipping Syed Ali Haider Zaidi, Minister for Science and Technology Fawad Chaudhary, Minister for Religious Affairs Noorul Haq Qadri, Minister for States and Frontier Regions Sahibzada Mohammad Mehboob Sultan and Minister for Industries and Production Hammad Azhar. 
Dr Fehmida Mirza, a minister who belongs to the Grand Democratic Alliance, former cabinet member Khalid Maqbool Siddiqui of the Muttahida Qaumi Movement-Pakistan and former minister Aamer Mehmood Kiyani have also not filed details of their assets so far.
Prominent among the parliamentary secretaries who have not filed their statements of assets are Maleeka Ali Bokhari, Kanwal Shauzab, Aliya Hamza Malik, Attaullah, Saleh Mohammad, Mohammad Iqbal Khan and Saifur Rehman. 
Fourteen senators in the house of 104 have also not fulfilled their obligations. They include Raza Rabbani, Mir Kabir Ahmed, Dr Ashok Kumar, Musadik Malik, Ayesha Raza Farooq, Kamran Michael, Mustafa Nawaz Khokhar, Syed Mohammad Ali Shah Jamot, Mohammad Ali Khan Saif, Anwar Lal Dean, Rana Mahmoodul Hassan, Liaqat Khan Tarakai, Shammim Afridi and Mirza Mohammad Afridi.
With one vacant seat, 89 other senators have, however, submitted their statements of assets to the ECP. 
Among the members of the National Assembly, Leader of the Opposition Mohammad Shehbaz Sharif, too, has not filed his statement of assets, besides veteran parliamentarian Akhtar Mengal, PPP’s Khursheed Ahmed Shah, Syed Naveed Qamar and Hina Rabbani Khar and former minister Khurrum Dastgir Khan. 
Similarly, Chaudhry Mehmood Bashir Virk, Shaza Fatima Khawaja and Maiza Hameed of the PML-N and Naz Baloch of the PPP are among other legislators who have failed to meet the legal requirement. 
Of the 371 seats in the Punjab Assembly, two are vacant and 225 members have submitted their statements of their to the ECP, while 144 others, including former federal minister Chaudhry Nisar Ali Khan, have yet to fulfil their legal obligations. 
Out of 168 members of the Sindh Assembly, 48 have yet to submit details of their assets to the ECP. 
Fifty MPAs of the 145-member Khyber Pakhtunkhwa Assembly have also not met the legal requirement so far. 
In the 65-member Balochistan Assembly, 26 lawmakers  have failed to submit their statements of assets to the Election Commission.",Pakistan
